word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
apple,/ˈæp.əl/,"A round red or green fruit that is white inside.",リンゴ,I want to eat a sweet apple.,She gave me a big red apple.,
book,/bʊk/,"A set of printed pages inside a cover, that you read.",本,Please put the book on the table.,I read a very good book yesterday.,
dog,/dɒɡ/,"A common animal with four legs, often kept as a pet.",犬,My dog likes to run in the park.,They have a small friendly dog.,
happy,/ˈhæp.i/,"Feeling or showing pleasure; pleased and glad.",幸福な、幸せな,She felt very happy today.,They are a happy family.,
school,/skuːl/,"A place where children go to learn and study.",学校,I walk to school every morning.,Our school has a big library.,
water,/ˈwɔː.tər/,"The clear liquid that falls as rain and is in rivers.",水,Please drink a glass of fresh water.,The plants need some clean water.,
friend,/frend/,"A person who you know and like very much.",友達,He is my best friend at school.,We played together with a friend.,
beautiful,/ˈbjuː.tɪ.fəl/,"Very attractive and pleasing to look at.",美しい,Look at that beautiful blue sky.,This is a beautiful flower garden.,
learn,/lɜːn/,"To get knowledge or skill in a new subject.",学ぶ、習得する,We learn many new English words.,He wants to learn how to swim.,
courage,/ˈkʌr.ɪdʒ/,"The ability to control your fear in a dangerous situation.",勇気、度胸,It takes great courage to speak in front of people.,She has the courage to try new things.,
