word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
visit,/ˈvɪz.ɪt/,To go to see a person or place.,訪問する,I want to visit my grandmother.,We visited a beautiful temple in Kyoto.,He will visit Canada next summer.
need,/niːd/,To require something because it is necessary.,必要とする,I need a clean glass of water.,Do you need any help?,We need food and shelter to live.
swim,/swɪm/,To move through water using your body.,泳ぐ,I like to swim in the sea.,Can you swim across the pool?,He swims every Tuesday after school.
put,/pʊt/,To place something in a particular position.,置く,Please put the book on the table.,She put the keys in her bag.,He put butter on his bread.
answer,/ˈæn.sər/,To say or write something back to a question.,答える,Please answer my question.,He gave a quick answer.,Do you know the answer?
send,/send/,To make something go to another place.,送る,I will send a letter to my friend.,She sent me an email yesterday.,Can you send this package for me?
forget,/fəˈɡet/,To not remember something.,忘れる,Don't forget your umbrella today.,I forgot my homework at home.,She always forgets her keys.
carry,/ˈkær.i/,To hold and move something from one place to another.,運ぶ,Please carry this heavy box.,She carried the baby in her arms.,He always carries a small bag.
plane,/pleɪn/,A large vehicle that flies.,飛行機,The plane will land soon.,We traveled by plane to Okinawa.,I saw a white plane in the sky.
math,/mæθ/,The study of numbers and shapes.,数学,I have a math test today.,Math is my favorite subject.,He is very good at math.
now,/naʊ/,At the present time.,今,I want to go home now.,Where are you now?,School is starting now.
holiday,/ˈhɒl.ɪ.deɪ/,A special day when you do not have to work or go to school.,祝日,Today is a national holiday.,What did you do on your holiday?,We are going on holiday next week.
farmer,/ˈfɑːr.mər/,A person who owns or works on a farm.,農家,The farmer grows fresh vegetables.,My uncle is a farmer.,We visited a friendly farmer yesterday.
window,/ˈwɪn.dəʊ/,An opening in a wall to let in light and air.,窓,Please open the window for fresh air.,I can see the park from my window.,She closed the window because of the wind.
bread,/bred/,A common food made from flour and water.,パン,I eat warm bread every morning.,Would you like some fresh bread?,He put butter on his bread.
busy,/ˈbɪz.i/,Having a lot of things to do.,忙しい,My father is very busy today.,Monday is a busy day.,She is busy doing her homework.
famous,/ˈfeɪ.məs/,Known by many people.,有名な,He is a famous soccer player.,This restaurant is famous for its food.,We visited a famous castle.
fast,/fæst/,Moving or doing something quickly.,速い,He runs very fast.,This is a fast train.,How fast can you run?
often,/ˈɒf.ən/,Many times or frequently.,しばしば・よく,How often do you swim?,I often play tennis with my friend.,It often rains here in summer.
easily,/ˈiː.zɪ.li/,Without any difficulty.,簡単に,You can do this task easily.,She speaks English easily.,He learns new words easily.
still,/stɪl/,Continuing until now.,今でも・まだ,I am still doing my homework.,Is it still raining outside?,He still lives in Tokyo.
always,/ˈɔːl.weɪz/,At all times or every time.,いつも,She always smiles at me.,I always wake up at six.,He always does his best.
ride,/raɪd/,"To travel on a horse, bicycle, or motorcycle.",乗る,I ride my bicycle to school.,He likes to ride horses.,She learned how to ride a bike.
cut,/kʌt/,To use a sharp tool to divide something.,切る,Please cut the paper with scissors.,She cut the cake into eight pieces.,I need to cut my hair.
invite,/ɪnˈvaɪt/,To ask someone to come to a social event.,招待する,I want to invite my friends to my party.,She invited us to dinner.,Thank you for inviting me.
drop,/drɒp/,To let something fall.,落とす,Please don't drop that glass.,She dropped her bag on the floor.,Leaves drop from trees in autumn.
record,/rɪˈkɔːd/,"To store music, sound, or information.",記録する,We record our voices in class.,He wants to record a song.,She records her daily activities.
sell,/sel/,To give something to someone in exchange for money.,売る,This store sells fresh fruit.,He wants to sell his old bicycle.,Do you sell newspapers here?
wake,/weɪk/,To stop sleeping or make someone stop sleeping.,目が覚める,What time do you wake up?,Please wake me up at seven.,I woke up early this morning.
arrive,/əˈraɪv/,To reach a place at the end of a journey.,到着する,The bus will arrive in a minute.,We arrived at the airport early.,What time does the train arrive?
pond,/pɒnd/,A small area of still water.,池,There are many fish in the pond.,We walked around the quiet pond.,He threw a small stone into the pond.
hobby,/ˈhɒb.i/,An activity done for pleasure in free time.,趣味,My hobby is playing tennis.,Do you have any hobbies?,Her hobby is painting flowers.
shoulder,/ˈʃəʊl.dər/,The joint connecting the arm with the torso.,肩,He carried a bag on his shoulder.,My shoulder hurts today.,She touched my shoulder to wake me.
toothbrush,/ˈtuːθ.brʌʃ/,A small brush used for cleaning teeth.,歯ブラシ,I bought a blue toothbrush.,Don't forget your toothbrush.,You should change your toothbrush regularly.
salt,/sɔːlt/,A white substance used to flavor food.,塩,Please pass the salt.,There is too much salt in this soup.,We need some salt for cooking.
dress,/dres/,A one-piece garment for women or girls.,ドレス,She is wearing a beautiful red dress.,I want to buy a new dress.,She wore a white dress to the party.
office,/ˈɒf.ɪs/,A room or building where people work at desks.,会社・事務所,My father works in a big office.,She goes to the office every morning.,The office is near the station.
luck,/lʌk/,Good things that happen by chance.,運,Good luck with your test today!,I had no luck finding my keys.,Seven is a symbol of luck.
safe,/seɪf/,Not in danger or likely to be harmed.,安全な,Is this place safe?,We had a safe journey.,Please stay in a safe place.
tonight,/təˈnaɪt/,On this present night.,今夜,What are you doing tonight?,We are going to eat pizza tonight.,The stars are very bright tonight.
sometime,/ˈsʌm.taɪm/,At some unknown or undecided time.,いつか,Let's play tennis sometime next week.,Please visit my home sometime.,I want to travel to America sometime.
usual,/ˈjuː.ʒu.əl/,Normal or happening most of the time.,いつもの,We met at our usual place.,He was late as usual.,This is my usual breakfast.
strong,/strɒŋ/,Having great power or physical strength.,強い,He is a very strong player.,The wind is very strong today.,We need strong bags for these books.
